id,Name,Position,Height,Weight,Age,GP,REB,AST,STL,BLK,PTS,Salary
1,"Stephen Curry",G,188,84,35,63,345,363,77,8,2015,3000
2,"Damian Lillard",G,188,88,32,67,283,505,62,17,1928,3000
3,"Nikola Jokic",C,211,129,28,72,780,599,95,48,1898,3000
4,"Bradley Beal",G,193,94,30,60,283,265,69,22,1878,3000
5,"Luka Doncic",G,201,104,24,66,527,567,64,36,1830,3000
6,"Giannis Antetokounmpo",F,213,110,28,61,671,357,72,73,1717,3000
7,"Devin Booker",G,196,93,26,67,281,289,53,16,1712,3000
8,"Julius Randle",F,203,113,28,71,724,427,64,18,1712,3000
9,"Jayson Tatum",F,203,95,25,64,472,276,75,31,1692,3000
10,"Zion Williamson",F,198,129,22,61,441,226,57,39,1647,3000
11,"Nikola Vucevic",C,208,118,32,70,817,269,65,48,1639,3000
12,"Trae Young",G,185,74,24,63,245,594,53,12,1594,3000
13,"Zach LaVine",G,196,91,28,58,289,282,46,27,1591,3000
14,"De'Aaron Fox",G,191,84,25,58,203,417,87,27,1461,3000
15,"Collin Sexton",G,188,86,24,60,187,262,62,10,1460,3000
16,"Joel Embiid",C,213,127,29,51,539,145,50,69,1451,3000
17,"Kyrie Irving",G,188,88,31,54,257,324,76,37,1451,3000
18,"Brandon Ingram",F,203,86,25,61,299,296,42,36,1450,3000
19,"Russell Westbrook",G,191,91,34,65,750,763,89,23,1445,3000
20,"Jaylen Brown",F,198,101,26,58,347,195,72,32,1430,3000
21,"Terry Rozier",G,185,86,29,69,302,293,87,26,1407,3000
22,"Donovan Mitchell",G,185,98,26,53,235,277,52,15,1401,3000
23,"Anthony Edwards",G,193,102,21,72,336,211,82,36,1392,1000
24,"Khris Middleton",F,201,101,31,68,406,370,74,9,1385,3000
25,"Andrew Wiggins",F,201,89,28,71,347,167,67,70,1320,1000
26,"DeMar DeRozan",F,198,100,33,61,259,422,56,15,1316,3000
27,"Kawhi Leonard",F,201,102,32,52,337,269,81,21,1292,3000
28,"Norman Powell",G,193,98,30,69,215,129,82,18,1283,1000
29,"RJ Barrett",G,198,97,23,72,414,217,53,20,1264,1000
30,"Domantas Sabonis",C,216,109,27,62,742,415,76,33,1260,3000
31,"Paul George",F,203,100,33,54,359,280,62,24,1259,3000
32,"Jordan Clarkson",G,196,88,31,68,274,168,61,10,1251,1000
33,"Karl-Anthony Towns",F,213,112,27,50,529,225,39,57,1239,3000
34,"Bojan Bogdanovic",F,201,103,34,72,281,136,45,4,1225,1000
35,"Tobias Harris",F,201,103,30,62,419,220,55,51,1210,1000
36,"Jerami Grant",F,203,95,29,54,250,152,35,58,1205,3000
37,"Ja Morant",G,188,79,23,63,252,465,57,13,1204,1000
38,"Bam Adebayo",C,206,116,25,64,573,346,75,66,1197,1000
39,"Pascal Siakam",F,203,104,29,56,405,250,64,37,1196,3000
40,"Malcolm Brogdon",G,193,104,30,56,294,329,49,15,1186,3000
41,"Buddy Hield",F,193,100,30,71,334,257,63,30,1176,1000
42,"Tim Hardaway Jr.",F,196,93,31,70,229,126,31,11,1163,1000
43,"Michael Porter Jr.",F,208,99,25,61,445,70,40,54,1162,1000
44,"Dillon Brooks",F,198,102,27,67,196,157,78,26,1151,1000
45,"Chris Paul",G,183,79,38,70,312,622,99,19,1149,1000
46,"LeBron James",F,206,113,38,45,346,350,48,25,1126,3000
47,"Jimmy Butler",F,201,104,33,52,359,369,108,18,1116,3000
48,"John Collins",F,206,103,25,63,467,78,34,63,1111,1000
49,"CJ McCollum",G,191,86,31,47,185,223,44,21,1087,3000
50,"James Harden",G,196,100,33,44,348,475,53,33,1083,3000
51,"Jonas Valanciunas",C,211,120,31,62,776,112,35,57,1058,1000
52,"Dejounte Murray",G,196,82,26,67,473,363,101,7,1051,1000
53,"Jrue Holiday",G,196,93,33,59,268,357,96,37,1046,1000
54,"Coby White",G,196,88,23,69,284,328,38,15,1041,1000
55,"Fred VanVleet",G,183,89,29,52,220,328,87,37,1019,1000
56,"Jamal Murray",G,193,98,26,48,194,231,64,13,1018,3000
57,"Rudy Gobert",C,216,117,31,71,960,89,40,190,1015,1000
58,"Deandre Ayton",C,213,113,24,69,727,99,41,81,997,1000
59,"Joe Harris",F,198,100,31,69,248,130,46,14,974,1000
60,"Mikal Bridges",G,198,95,26,72,309,152,76,63,970,1000
61,"Clint Capela",C,208,116,29,63,903,49,44,129,956,1000
62,"Caris LeVert",G,198,93,28,47,214,245,66,30,948,3000
63,"Kelly Olynyk",C,211,109,32,70,489,203,79,42,945,1000
64,"Kevin Durant",F,208,109,34,35,247,195,25,45,943,3000
65,"Duncan Robinson",F,201,98,29,72,250,127,43,20,942,1000
66,"Darius Garland",G,185,87,23,54,129,329,66,6,941,1000
67,"Dennis Schroder",G,185,78,29,61,211,351,70,13,941,1000
68,"Harrison Barnes",F,203,102,31,58,385,201,43,11,933,1000
69,"Montrezl Harrell",C,201,109,29,69,428,73,46,49,931,1000
70,"Carmelo Anthony",F,201,108,38,69,214,104,46,38,924,1000
71,"Doug McDermott",F,198,102,31,66,221,85,20,6,899,1000
72,"Gary Trent Jr.",G,196,95,24,58,152,80,56,10,888,1000
73,"Keldon Johnson",F,196,100,23,69,412,121,40,24,881,1000
74,"Kyle Kuzma",F,206,100,27,68,417,127,35,41,874,1000
75,"Eric Bledsoe",G,185,97,32,71,244,268,55,24,869,1000
76,"Richaun Holmes",C,203,107,29,61,504,101,39,96,869,1000
77,"Kristaps Porzingis",F,221,109,27,43,381,68,20,58,865,3000
78,"Gordon Hayward",F,201,102,33,44,258,181,52,14,863,1000
79,"Christian Wood",C,206,97,27,41,395,71,34,48,860,3000
80,"Brook Lopez",C,216,128,35,70,347,50,40,103,859,1000
81,"Jalen Brunson",G,188,86,26,68,231,239,35,1,857,1000
82,"Saddiq Bey",F,201,98,24,70,318,95,52,14,857,1000
83,"Kyle Anderson",F,206,104,29,69,396,250,84,57,854,1000
84,"Kelly Oubre Jr.",F,198,92,27,55,329,73,57,42,849,1000
85,"Miles Bridges",F,201,102,24,66,397,147,44,52,840,1000
86,"Shai Gilgeous-Alexander",G,198,88,24,35,166,207,27,23,830,3000
87,"Ben Simmons",G,208,109,26,58,417,401,93,35,829,1000
88,"Kemba Walker",G,183,83,33,43,170,212,48,12,829,1000
89,"Josh Jackson",G,203,94,25,62,254,143,53,47,828,1000
90,"Mike Conley",G,185,79,35,51,177,305,70,9,827,1000
91,"P.J. Washington",F,201,104,24,64,418,161,69,79,824,1000
92,"John Wall",G,191,95,32,40,129,275,42,31,823,3000
93,"Thaddeus Young",F,203,107,35,68,423,291,74,40,823,1000
94,"Kevin Huerter",G,201,90,24,69,231,241,82,18,822,1000
95,"Chris Boucher",F,206,91,30,60,404,63,35,111,818,1000
96,"Shake Milton",G,196,93,26,63,148,193,39,18,817,1000
97,"Devonte' Graham",G,185,88,28,55,148,295,48,6,816,1000
98,"Kendrick Nunn",G,191,86,27,56,179,148,52,14,816,1000
99,"Tyler Herro",G,196,88,23,54,268,184,35,17,815,1000
100,"Joe Ingles",F,206,100,35,67,244,318,45,12,809,1000
101,"Enes Freedom",C,208,113,30,72,795,84,33,48,806,1000
102,"Jarrett Allen",C,206,110,25,63,631,106,32,90,806,1000
103,"LaMelo Ball",G,201,82,21,51,302,313,81,18,803,1000
104,"Lonzo Ball",G,198,86,24,55,263,316,82,31,802,1000
105,"D'Angelo Russell",G,193,88,27,42,111,244,45,18,796,1000
106,"Jae'Sean Tate",F,196,104,27,70,374,178,85,36,794,1000
107,"Kyle Lowry",G,183,89,37,46,247,338,45,14,791,1000
108,"Rui Hachimura",F,203,104,25,57,312,82,44,7,789,2500
109,"Dwayne Bacon",G,198,100,25,72,224,93,45,5,788,2500
110,"Anthony Davis",C,208,115,30,36,286,110,45,59,786,3000
111,"Naz Reid",C,206,120,23,70,322,72,34,76,784,2500
112,"Marcus Morris Sr.",F,203,99,33,57,234,58,34,15,765,2500
113,"Justin Holiday",F,198,82,34,72,256,119,74,41,756,2500
114,"Bobby Portis",F,211,113,28,66,466,71,52,26,754,2500
115,"Darius Bazley",C,206,98,23,55,396,99,29,25,754,2500
116,"Tyrese Haliburton",G,196,84,23,58,173,309,77,28,753,2500
117,"Jeff Green",F,203,107,36,68,263,108,36,27,750,2500
118,"Lou Williams",G,188,79,35,66,138,225,47,6,749,2500
119,"Patty Mills",G,183,82,34,68,116,162,42,3,736,2500
120,"Derrick Rose",G,191,91,34,50,130,209,49,19,734,2500
121,"Immanuel Quickley",G,188,86,24,64,137,127,30,12,731,2500
122,"Luguentz Dort",F,193,100,24,52,189,88,45,19,729,2500
123,"Malik Beasley",G,193,85,26,37,162,88,30,7,724,2500
124,"Bogdan Bogdanovic",G,196,102,30,44,160,147,49,13,720,2500
125,"Evan Fournier",G,198,93,30,42,128,144,47,19,719,2500
126,"Terrence Ross",G,201,93,32,46,158,108,47,21,717,2500
127,"Rudy Gay",F,203,113,36,63,303,88,45,40,716,2500
128,"Josh Richardson",G,198,91,29,59,195,153,61,24,715,2500
129,"Reggie Jackson",G,188,94,33,67,192,205,41,7,715,2500
130,"Seth Curry",G,185,84,32,57,136,155,44,8,711,2500
131,"Will Barton",G,196,82,32,56,226,181,50,23,711,2500
132,"Reggie Bullock Jr.",G,198,92,32,65,223,99,52,11,709,2500
133,"Bryn Forbes",G,188,93,29,70,112,45,24,1,701,2500
134,"Lauri Markkanen",F,213,109,26,51,268,45,26,15,695,2500
135,"Donte DiVincenzo",G,193,92,26,66,380,203,72,15,688,2500
136,"Andre Drummond",C,211,127,29,46,551,94,63,49,687,2500
137,"OG Anunoby",F,201,105,24,43,237,94,66,32,682,2500
138,"Danilo Gallinari",F,208,107,33,51,211,76,30,10,676,2500
139,"Goran Dragic",G,193,86,37,50,169,219,33,8,672,2500
140,"Lonnie Walker IV",G,193,93,24,60,155,101,29,15,669,2500
141,"Theo Maledon",G,196,79,22,65,211,227,56,11,658,2500
142,"Davis Bertans",F,208,102,30,57,168,49,33,13,655,2500
143,"Patrick Williams",F,201,98,21,71,327,99,64,46,655,2500
144,"Danny Green",G,198,98,36,69,260,118,92,56,654,2500
145,"Kentavious Caldwell-Pope",G,196,93,30,67,179,127,62,26,653,2500
146,"Victor Oladipo",G,191,97,31,33,160,151,46,14,652,2500
147,"Ivica Zubac",C,213,109,26,72,519,90,24,62,650,2500
148,"Isaac Okoro",F,196,102,22,67,206,128,62,24,646,2500
149,"Delon Wright",G,196,84,31,63,269,278,101,30,645,2500
150,"Robin Lopez",C,213,127,35,71,272,55,15,44,642,2500
151,"Elfrid Payton",G,191,88,28,63,216,203,47,9,639,2500
152,"Daniel Theis",C,203,111,31,65,356,108,41,57,627,2500
153,"Marcus Smart",G,193,100,29,48,167,273,72,23,627,2500
154,"Desmond Bane",G,196,98,25,68,210,118,41,16,625,2500
155,"Alec Burks",G,198,97,31,49,227,107,31,14,623,2500
156,"Aaron Gordon",F,203,107,27,50,284,161,33,34,618,2500
157,"Cedi Osman",F,201,104,28,59,201,174,53,9,613,2500
158,"Jordan Poole",G,193,88,24,51,92,99,26,9,612,2500
159,"Brandon Clarke",F,203,98,26,59,328,95,60,51,610,2500
160,"Marvin Bagley III",C,208,107,24,43,318,43,21,21,608,2500
161,"Wendell Carter Jr.",C,208,122,24,54,443,104,35,42,606,2500
162,"Cole Anthony",G,191,84,23,47,221,192,30,18,605,2500
163,"Hamidou Diallo",F,196,92,24,52,272,101,41,24,604,2500
164,"Jae Crowder",F,198,107,32,60,282,127,48,27,603,2500
165,"T.J. McConnell",G,185,86,31,69,256,456,128,23,596,2500
166,"Jakob Poeltl",C,216,111,27,69,547,134,47,123,593,2500
167,"Robert Covington",F,201,95,32,70,466,117,101,84,593,2500
168,"Myles Turner",C,211,113,27,47,306,48,40,159,592,2500
169,"Dorian Finney-Smith",F,201,100,30,60,326,102,52,25,590,2500
170,"Talen Horton-Tucker",G,193,106,22,65,169,181,63,21,585,2500
171,"Ricky Rubio",G,188,86,32,68,223,433,98,4,582,2500
172,"Mason Plumlee",C,213,115,33,56,519,202,43,50,581,2500
173,"Bruce Brown",F,193,92,26,65,349,104,58,28,573,2500
174,"Cameron Johnson",F,203,95,27,60,199,86,37,16,573,2500
175,"Landry Shamet",G,193,86,26,61,112,99,31,10,567,2500
176,"Svi Mykhailiuk",F,201,93,26,66,163,110,51,12,559,2500
177,"Raul Neto",G,188,82,31,64,156,146,73,6,557,2500
178,"Derrick White",G,193,86,28,36,107,127,26,36,553,2500
179,"Nicolas Batum",F,203,104,34,67,316,148,69,37,540,2500
180,"Isaiah Stewart",C,203,113,22,68,453,59,39,86,537,2500
181,"Isaiah Roby",F,203,104,25,61,341,107,52,37,533,2500
182,"Terence Davis",G,193,91,26,61,154,83,44,14,533,2500
183,"Grayson Allen",G,193,90,27,50,160,108,46,8,532,2500
184,"Kenrich Williams",F,198,95,28,66,273,152,55,17,526,2500
185,"Luke Kennard",G,196,93,27,63,161,104,23,9,520,2500
186,"Cory Joseph",G,191,91,31,63,159,213,61,18,517,2500
187,"Payton Pritchard",G,185,88,25,66,158,120,37,9,510,2500
188,"Nickeil Alexander-Walker",G,196,93,24,46,144,102,47,22,508,2500
189,"Blake Griffin",C,206,113,34,46,225,140,32,15,505,2500
190,"Cameron Payne",G,185,83,28,60,144,217,36,16,505,2500
191,"Anfernee Simons",G,191,82,24,64,140,89,18,8,502,2500
192,"Paul Millsap",F,201,117,37,56,262,98,51,36,502,2500
193,"Furkan Korkmaz",G,201,92,25,55,113,82,49,9,501,2500
194,"Georges Niang",F,201,104,30,72,176,59,25,8,500,2500
195,"Royce O'Neale",F,198,103,30,71,485,181,57,32,496,2500
196,"Malik Monk",G,191,91,25,42,101,87,19,4,490,2500
197,"Tyrese Maxey",G,188,91,22,61,104,120,26,13,488,2500
198,"Dwight Howard",C,208,120,36,69,580,61,30,62,482,2500
199,"Khem Birch",C,203,106,30,67,387,89,48,50,482,2500
200,"Eric Gordon",G,191,98,34,27,58,71,14,13,481,2500
201,"Kent Bazemore",G,193,88,32,67,229,108,69,33,481,2500
202,"Monte Morris",G,188,83,28,47,96,150,34,13,481,2500
203,"Aaron Holiday",G,183,84,26,66,89,123,46,13,475,2500
204,"De'Anthony Melton",G,188,91,25,52,161,132,60,31,472,2500
205,"Terance Mann",G,196,98,26,67,242,104,29,13,472,2500
206,"JaMychal Green",F,206,103,33,58,277,53,26,22,471,2500
207,"Pat Connaughton",F,196,95,30,69,332,81,49,23,468,2500
208,"Serge Ibaka",C,211,107,33,41,275,74,9,47,454,2500
209,"Cody Zeller",C,211,109,30,48,328,86,27,17,451,2500
210,"Jaxson Hayes",C,213,100,23,60,257,35,25,38,449,2500
211,"James Wiseman",C,213,109,22,39,226,26,11,36,448,2500
212,"Tomas Satoransky",G,201,95,30,58,142,271,40,14,447,2500
213,"Draymond Green",F,198,104,33,63,448,558,105,52,444,2500
214,"Tyus Jones",G,188,89,27,70,140,259,64,6,442,2500
215,"Wayne Ellington",G,193,94,34,46,85,67,18,9,442,2000
216,"D.J. Augustin",G,180,83,34,57,94,188,28,1,438,2000
217,"Steven Adams",C,211,120,29,58,514,111,54,38,438,2000
218,"Dario Saric",F,208,102,29,50,190,65,30,4,437,2000
219,"Josh Hart",F,193,98,28,47,377,109,38,12,434,2000
220,"Kevin Porter Jr.",G,193,92,23,26,99,164,19,8,431,2000
221,"Jaden McDaniels",F,206,84,22,63,232,71,35,60,427,2000
222,"DeAndre Jordan",C,211,120,34,57,427,93,17,65,426,2000
223,"Jusuf Nurkic",C,213,132,28,37,332,125,38,39,424,2000
224,"Alex Len",C,218,113,30,64,260,49,20,64,423,2000
225,"Garrett Temple",G,198,88,37,56,160,124,43,30,423,2000
226,"KJ Martin",F,198,97,22,45,242,48,30,41,419,2000
227,"Robert Williams III",C,206,108,25,52,358,94,43,91,417,2000
228,"Sterling Brown",F,196,99,28,51,224,72,38,12,416,2000
229,"Trey Burke",G,183,84,29,62,54,81,36,7,411,2000
230,"Tristan Thompson",F,206,115,31,54,439,67,24,33,409,2000
231,"Markieff Morris",F,206,111,33,61,266,73,22,19,407,2000
232,"Ben McLemore",G,191,88,29,53,100,39,23,9,406,2000
233,"Denzel Valentine",G,193,100,28,62,197,105,30,7,406,2000
234,"Edmond Sumner",G,193,89,27,53,94,49,33,10,399,2000
235,"Al Horford",C,206,109,37,28,188,94,25,26,398,2000
236,"Derrick Jones Jr.",F,198,95,26,58,205,47,37,54,396,2000
237,"Facundo Campazzo",G,178,88,32,65,134,232,79,14,396,2000
238,"Frank Jackson",G,191,93,25,40,86,36,15,1,390,2000
239,"Xavier Tillman",F,201,111,24,59,256,75,44,33,390,2000
240,"Taurean Prince",F,198,99,29,41,142,76,28,23,389,2000
241,"Gary Harris",G,193,95,28,39,79,78,28,11,388,2000
242,"PJ Dozier",F,198,93,26,50,182,92,31,22,385,2000
243,"Eric Paschall",F,198,116,25,40,128,51,12,7,381,2000
244,"Daniel Gafford",C,208,106,24,54,231,29,26,75,380,2000
245,"Jaylen Nowell",G,193,91,23,42,95,62,22,12,379,2000
246,"Dean Wade",F,206,103,26,63,215,74,35,21,376,2000
247,"Juancho Hernangomez",F,206,97,27,52,205,35,19,7,375,2000
248,"Damion Lee",G,196,95,30,57,180,73,38,8,373,2000
249,"Jeff Teague",G,191,88,33,55,88,132,34,12,371,2000
250,"Alex Caruso",G,196,84,29,58,170,160,64,15,370,2000
251,"Moses Brown",C,218,111,23,43,383,10,31,47,370,2000
252,"Timothe Luwawu-Cabarrot",G,201,98,27,58,129,69,33,6,370,2000
